Code,Description
33711720,Toothpaste.
33711730,Toothpicks.
33711740,Mouthwash.
33711750,Mouth fresheners.
33711760,Dental floss.
33711770,"Infant soother, pacifier and dummy."
33711780,Denture cleaning tablets.
33711790,Dental kits.
33711800,Shaving preparations.
33711810,Shaving creams.
33711900,Soap.
33712000,Condoms.
33713000,Foot care products.
33720000,Razors and manicure or pedicure sets.
33721000,Razors.
33721100,Razor blades.
33721200,Shavers.
33722000,Manicure or pedicure sets.
33722100,Manicure sets.
33722110,Manicure implements.
33722200,Pedicure sets.
33722210,Pedicure implements.
33722300,Barrettes.
33730000,Eye care products and corrective lenses.
33731000,Contact lenses.
33731100,Corrective lenses.
33731110,Intraocular lenses.
33731120,Spectacle lenses.
33732000,Contact lenses lotions.
33733000,Sunglasses.
33734000,Spectacles.
33734100,Frames and mountings for spectacles.
33734200,Glass for spectacles.
33735000,Goggles.
33735100,Protective goggles.
33735200,Frames and mountings for goggles.
33740000,Hand and nails care products.
33741000,Hand care products.
33741100,Hand cleaner.
33741200,Hand or body lotions.
33741300,Hand sanitizer.
33742000,Nail care products.
33742100,Nail clippers.
33742200,Nail polish.
33750000,Baby care products.
33751000,Disposable nappies.
33752000,Nursing pad.
33760000,"Toilet paper, handkerchiefs, hand towels and serviettes."
33761000,Toilet paper.
33762000,Paper handkerchiefs.
33763000,Paper hand towels.
33764000,Paper serviettes.
33770000,Paper sanitary.
33771000,Sanitary paper products.
33771100,Sanitary towels or tampons.
33771200,Paper napkin liners.
33772000,Disposable paper products.
33790000,"Laboratory, hygienic or pharmaceutical glassware."
33791000,Hygienic glassware.
33792000,Pharmaceutical glassware.
33793000,Laboratory glassware.
33900000,Postmortem and mortuary equipment and supplies.
33910000,Pathology dissection instruments and supplies.
33911000,Autopsy scissors.
33912000,Autopsy dissection kits.
33912100,Autopsy dissection forceps.
33913000,Autopsy bullet probes.
33914000,"Postmortem thread, needles or incision clips."
33914100,Postmortem thread.
33914200,Postmortem needles.
33914300,Postmortem incision clips.
33915000,Autopsy vein directors.
33916000,Autopsy saw blades or accessories.
33916100,Autopsy saws.
33917000,Dissection boards or pads.
33918000,Cases for postmortem surgical instruments or accessories.
33919000,Instrument rolls for postmortem surgical instruments or accessories.
33920000,Autopsy equipment and supplies.
33921000,Bone dust collectors.
33922000,Cadaver transport bags.
33923000,"Autopsy head rests, body boards or hanging scales."
33923100,Autopsy head rests.
33923200,Autopsy body boards.
33923300,Autopsy hanging scales.
33924000,Autopsy infectious disease kits.
33925000,Postmortem identification tags or bracelets.
33926000,Autopsy fluid collection vacuum aspirators or tubing.
33927000,Postmortem rectal thermometers.
33928000,Postmortem finger straighteners.
33929000,Cadaver tissue builder kits.
33930000,Autopsy furniture.
33931000,Autopsy grossing workstations or accessories.
33932000,Autopsy sinks or accessories.
33933000,Autopsy tables or accessories.
33933100,Autopsy tables.
33934000,Necropsy tables or accessories.
33935000,Postmortem animal dissection tables or accessories.
33936000,Embalming workstations or accessories.
33937000,Autopsy downdraft workstations or accessories.
33940000,Cadaver transport and storage equipment and supplies.
33941000,Cadaver storage racks.
33942000,Cadaver carriers.
33943000,Cadaver scissor lift trolleys.
33944000,Morgue cabinet refrigerators or freezers.
33945000,Morgue walk in refrigerators.
33946000,Autopsy carts.
33947000,Cadaver trays.
33948000,Cadaver lifter or transfer devices.
33949000,Body transport containers.
33950000,Clinical forensics equipment and supplies.
33951000,Postmortem fingerprint or impression materials.
33952000,Antiputrefaction masks.
33953000,Postmortem blood detection kits or supplies.
33954000,Biological evidence collection kits.
33960000,Embalming equipment and supplies.
33961000,Embalming cavity injectors.
33962000,Embalming vein drainage tubes.
33963000,Embalming fluids or chemical treatments.
33964000,Embalming injecting tubes.
33965000,Embalming sinks or accessories.
33966000,Embalming kits.
33967000,Embalming injector needles.
33968000,Eye caps.
33970000,Mortuary equipment and supplies.
33971000,Mortuary outfits.
33972000,Mortuary packs.
33973000,Mortuary wraps.
33974000,Mortuary aspirators.
33975000,Mortuary hardening compounds.
34000000,Transport equipment and auxiliary products to transportation.
34100000,Motor vehicles.
34110000,Passenger cars.
34111000,Estate and saloon cars.
34111100,Estate cars.
34111200,Saloon cars.
34113000,4-wheel-drive vehicles.
34113100,Jeeps.
34113200,All-terrain vehicles.
34113300,Off-road vehicles.
34114000,Specialist vehicles.
34114100,Emergency vehicles.
34114110,Rescue vehicles.
34114120,Paramedic vehicles.
34114121,Ambulances.
34114122,Patient-transport vehicles.
34114200,Police cars.
34114210,Prisoner-transport vehicles.
34114300,Welfare vehicles.
34114400,Minibuses.
34115000,Other passenger cars.
34115200,Motor vehicles for the transport of fewer than 10 persons.
34115300,Second-hand transport vehicles.
34120000,Motor vehicles for the transport of 10 or more persons.
34121000,Buses and Coaches.
34121100,Public-service buses.
34121200,Articulated buses.
34121300,Double-decker buses.
34121400,Low-floor buses.
34121500,Coaches.
34130000,Motor vehicles for the transport of goods.
34131000,Pick-ups.
34132000,Motor sledges.
34133000,Articulated trucks.
34133100,Tankers.
34133110,Fuel-tanker trucks.
34134000,Flatbed and Tipper trucks.
34134100,Flatbed trucks.
34134200,Tipper trucks.
34136000,Vans.
34136100,Light vans.
34136200,Panel vans.
34137000,Second-hand goods vehicles.
34138000,Road tractor units.
34139000,Chassis.
34139100,Chassis cabs.
34139200,Chassis bodies.
34139300,Complete chassis.
34140000,Heavy-duty motor vehicles.
34142000,Crane and dumper trucks.
34142100,Elevator-platforms trucks.
34142200,Skip loaders.
34142300,Dumper trucks.
34143000,Winter-maintenance vehicles.
34144000,Special-purpose motor vehicles.
34144100,Mobile drilling derricks.
34144200,Vehicles for the emergency services.
34144210,Firefighting vehicles.
34144211,Turntable-ladder trucks.
34144212,Water-tender vehicles.
34144213,Fire engines.
34144220,Breakdown vehicles.
34144300,Mobile bridges.
34144400,Road-maintenance vehicles.
34144410,Gully emptiers.
34144420,Salt spreaders.
34144430,Road-sweeping vehicles.
34144431,Suction-sweeper vehicles.
34144440,Gritter vehicles.
34144450,Sprinkler vehicles.
34144500,Vehicles for refuse and sewage.
34144510,Vehicles for refuse.
34144511,Refuse-collection vehicles.
34144512,Refuse-compaction vehicles.
34144520,Sewage tankers.
34144700,Utility vehicles.
34144710,Wheeled loaders.
34144730,Aircraft-refuelling vehicles.
34144740,Aircraft-towing vehicles.
34144750,Cargo carriers.
34144751,Straddle carriers.
34144760,Mobile library vehicles.
34144800,Mobile homes.
34144900,Electric vehicles.
34144910,Electric buses.
34150000,Simulators.
34151000,Driving simulators.
34152000,Training simulators.
34200000,"Vehicle bodies, trailers or semi-trailers."
34210000,Vehicle bodies.
34211000,"Bus bodies, ambulance bodies and vehicle bodies for goods vehicles."
34211100,Bus bodies.
34211200,Ambulance bodies.
34211300,Vehicle bodies for goods vehicles.
34220000,"Trailers, semi-trailers and mobile containers."
34221000,Special-purpose mobile containers.
34221100,Mobile incident units.
34221200,Mobile emergency units.
34221300,Chemical incident unit.
34223000,Trailers and semi-trailers.
34223100,Semi-trailers.
34223200,Bowsers.
34223300,Trailers.
34223310,General-purpose trailers.
34223320,Horsebox trailers.
34223330,Mobile units on trailers.
34223340,Tanker trailers.
34223350,Turntable-ladder trailers.
34223360,Refuelling trailers.
34223370,Tipper trailers.
34223400,Caravan-type trailers and semi-trailers.
34224000,"Parts of trailers, semi-trailers and other vehicles."
34224100,Parts of trailers and semi-trailers.
34224200,Parts of other vehicles.
34300000,Parts and accessories for vehicles and their engines.
34310000,Engines and engine parts.
34311000,Engines.
34311100,Internal-combustion engines for motor vehicles and motorcycles.
34311110,Spark-ignition engines.
34311120,Compression-ignition engines.
34312000,Engine parts.
34312100,Fan belts.
34312200,Spark plugs.
34312300,Vehicle radiators.
34312400,Pistons.
34312500,Gaskets.
34312600,Rubber conveyor belts.
34312700,Rubber transmission belts.
34320000,Mechanical spare parts except engines and engine parts.
34321000,Axles and Gearboxes.
34321100,Axles.
34321200,Gearboxes.
34322000,Brakes and brake parts.
34322100,Brake equipment.
34322200,Disc brakes.
34322300,Brake linings.
34322400,Brake pads.
34322500,Brake shoes.
34324000,"Wheels, parts and accessories."
34324100,Wheel-balancing equipment.
34325000,Silencers and exhaust pipes.
34325100,Silencers.
34325200,Exhaust pipes.
34326000,"Vehicle jacks, Clutches and associated parts."
34326100,Clutches and associated parts.
34326200,Vehicle jacks.
34327000,"Steering wheels, columns and boxes."
34327100,Steering wheels.
34327200,Columns and boxes.
34328000,"Test benches, vehicle conversion kits and seat belts."
34328100,Test benches.
34328200,Vehicle conversion kits.
34328300,Seat belts.
34330000,"Spare parts for goods vehicles, vans and cars."
34350000,Tyres for heavy/light duty vehicles.
34351000,Light- duty tyres.
34351100,Tyres for motor cars.
34352000,Heavy-duty tyres.
34352100,Tyres for trucks.
34352200,Tyres for buses.
34352300,Agrarian tyres.
34360000,Seats for civil aircraft.
34370000,Seats for motor vehicles.
34390000,Tractor accessories.
34400000,"Motorcycles, bicycles and sidecars."
34410000,Motorcycles.
34411000,Parts and accessories for motorcycles.
34411100,Motorcycle sidecars.
34411110,Parts and accessories for motorcycle sidecars.
34411200,Tyres for motorcycles.
34420000,Motor scooters and cycles with auxiliary motors.
34421000,Motor scooters.
34422000,Cycles with auxiliary motors.
34430000,Bicycles.
34431000,Non-motorised bicycles.
34432000,Parts and accessories for bicycles.
34432100,Tyres for bicycles.
34500000,Ships and boats.
34510000,Ships.
34511100,Marine patrol vessels.
34512000,Ships and similar vessels for the transport of persons or goods.
34512100,Ferry boats.
34512200,Cruise ships.
34512300,Bulk carriers.
34512400,Cargo ships.
34512500,Goods vessels.
34512600,Container carriers.
34512700,Ro-Ro vessels.
34512800,Tanker ships.
34512900,Car carriers.
34512950,Refrigerated vessels.
34513000,"Fishing, emergency and other special vessels."
34513100,Fishing vessels.
34513150,Factory ships.
34513200,Tug boats.
34513250,Dredgers.
34513300,Seagoing floating docks.
34513350,Dive-support vessels.
34513400,Floating cranes.
34513450,Production vessels.
34513500,Seismic survey vessels.
34513550,Survey vessels.
34513600,Pollution-control vessels.
34513650,Fire vessels.
34513700,Rescue vessels.
34513750,Light vessels.
34514000,Floating or submersible drilling or production platforms.
34514100,Drillships.
34514200,Jack-up rigs.
34514300,Platforms drilling rigs.
34514400,Floating drilling platforms.
34514500,Floating production facility.
34514600,Semi-submersible rigs.
34514700,Mobile platforms.
34514800,Offshore platforms.
34514900,Drilling platforms.
34515000,Floating structures.
34515100,Marker buoys.
34515200,Inflatable rafts.
34516000,Marine fenders.
34520000,Boats.
34521000,Specialised boats.
34521100,Surveillance boats.
34521200,Customs patrol boats.
34521300,Police patrol boats.
34521400,Lifeboats.
34522000,Pleasure and sporting boats.
34522100,Sailing boats.
34522150,Catamaran sailing boats.
34522200,Rescue dinghies.
34522250,Sailing dinghies.
34522300,Small craft.
34522350,Fibreglass dinghies.
34522400,Semi-rigid dinghies.
34522450,Inflatable craft.
34522500,Rubber dinghies.
34522550,Canoes.
34522600,Rowing boats.
34522700,Pedal boats.
34600000,Railway and tramway locomotives and rolling stock and associated parts.
34610000,Rail locomotives and tenders.
34611000,Locomotives.
34612000,Locomotive tenders and cable cars.
34612100,Locomotive tenders.
34612200,Cable cars.
34620000,Rolling stock.
34621000,"Railway maintenance or service vehicles, and railway freight wagons."
34621100,Railway freight wagons.
34621200,Railway maintenance or service vehicles.
34622000,"Railway and tramway passenger coaches, and trolleybuses."
34622100,Tramway passenger coaches.
34622200,Railway passenger coaches.
34622300,Trolleybuses.
34622400,Railway carriages.
34622500,Luggage vans and special-purpose vans.
34630000,Parts of railway or tramway locomotives or rolling stock; railways traffic-control equipment.
34631000,Parts of locomotives or rolling stock.
34631100,Monobloc wheels.
34631200,Buffers and drawgear.
34631300,Rolling-stock seats.
34631400,Wheel axles and tyres and other parts of locomotives or rolling stock.
34632000,Railways traffic-control equipment.
34632100,Mechanical signalling.
34632200,Electrical signalling equipment for railways.
34632300,Electrical installations for railways.
34640000,Automotive elements.
34700000,Aircraft and spacecraft.
34710000,"Helicopters, aeroplanes, spacecraft and other powered aircraft."
34711000,Helicopters and aeroplanes.
34711100,Aeroplanes.
34711200,Non-piloted aircraft.
34711300,Piloted aircraft.
34711400,Special-purpose aircraft.
34711500,Helicopters.
34712000,"Spacecraft, satellites and launch vehicles."
34712100,Spacecraft.
34712200,Satellites.
34712300,Spacecraft launchers.
34720000,"Balloons, dirigibles and other non-powered aircraft."
34721000,Gliders.
34721100,Hang-gliders.
34722000,Balloons and dirigibles.
34722100,Balloons.
34722200,Dirigibles.
34730000,"Parts for aircraft, spacecraft and helicopters."
34731000,Parts for aircraft.
34731100,Aircraft engines.
34731200,Turbojets.
34731300,Turbopropellers.
34731400,Jet engines.
34731500,Parts for aircraft engines.
34731600,Parts for turbojets or turbopropellers.
34731700,Parts for helicopters.
34731800,Tyres for aircraft.
34740000,"Aircraft or spacecraft equipment, trainers, simulators and associated parts."
34741000,Aircraft equipment.
34741100,Aircraft-launching gear.
34741200,Aircraft catapult systems.
34741300,Deck-arresting gear.
34741400,Flight simulators.
34741500,Ground flying trainer.
34741600,Air-sickness bags.
34900000,Miscellaneous transport equipment and spare parts.
34910000,"Horse or hand-drawn carts, other non-mechanically-propelled vehicles, baggage carts and miscellaneous spare parts."
34911000,Horse or hand-drawn carts and other non-mechanically-propelled vehicles.
34911100,Trolleys.
34912000,Baggage carts.
34912100,Pushchairs.
34913000,Miscellaneous spare parts.
34913100,Used tyres.
34913200,Retreaded tyres.
34913300,Fenders.
34913400,Clocks for vehicles.
34913500,Vehicle locks.
34913510,Bicycle locks.
34913600,Ship propellers.
34913700,Firefighting vehicle ladders.
34913800,Anchors.
34920000,Road equipment.
34921000,Road-maintenance equipment.
34921100,Road sweepers.
34921200,Runway sweepers.
34922000,Road-marking equipment.
34922100,Road markings.
34922110,Glass beads for road marking.
34923000,Road traffic-control equipment.
34924000,Variable message signs.
34926000,Car park control equipment.
34927000,Toll equipment.
34927100,Road salt.
34928000,Road furniture.
34928100,Crash barriers.
34928110,Road barriers.
34928120,Barrier components.
34928200,Fences.
34928210,Wooden posts.
34928220,Fencing components.
34928230,Noise fence.
34928300,Safety barriers.
34928310,Safety fencing.
34928320,Guardrails.
34928330,Paravalanche devices.
34928340,Snow fences.
34928400,Urban furniture.
34928410,Marker posts.
34928420,Road-danger lamps.
34928430,Beacons.
34928440,Bus-stop posts.
34928450,Bollards.
34928460,Road cones.
34928470,Signage.
34928471,Sign materials.
34928472,Sign posts.
34928480,Waste and rubbish containers and bins.
34928500,Street-lighting equipment.
34928510,Street-lighting columns.
34928520,Lampposts.
34928530,Street lamps.
34929000,Highway materials.
34930000,Marine equipment.
34931000,Harbour equipment.
34931100,Docking installations.
34931200,Passenger boarding bridges for ships.
34931300,Passenger boarding stairs for ships.
34931400,Ship bridge simulators.
34931500,Vessel traffic control equipment.
34932000,Radar sets.
34933000,Navigation equipment.
34934000,Propeller blades.
34940000,Railway equipment.
34941000,Rails and accessories.
34941100,Rods.
34941200,Track rails.
34941300,Tramline.
34941500,Crossheads.
34941600,Crossovers.
34941800,Railway points.
34942000,Signalling equipment.
34942100,Signal posts.
34942200,Signalling boxes.
34943000,Train-monitoring system.
34944000,Points heating system.
34945000,Track-alignment machinery.
34946000,Railway-track construction materials and supplies.
34946100,Railway-track construction materials.
34946110,Rails.
34946120,Railway materials.
34946121,Fishplates and sole plates.
34946122,Check rails.
34946200,Railway-track construction supplies.
34946210,Current-conducting rails.
34946220,"Switch blades, crossing frogs, point rods and crossing pieces."
34946221,Switch blades.
34946222,Crossing frogs.
34946223,Point rods.
34946224,Crossing pieces.
34946230,"Rail clips, bedplates and ties."
34946231,Rail clips.
34946232,Bedplates and ties.
34946240,Chairs and chair wedges.
34947000,Sleepers and parts of sleepers.
34947100,Sleepers.
34947200,Parts of sleepers.
34950000,Loadbearing equipment.
34951000,Access platforms.
34951200,Sludge-handling equipment.
34951300,Sludge-drier installation.
34952000,Hydraulic-platforms hoists.
34953000,Access ramps.
34953100,Ferry ramps.
34953300,Passenger walkway.
34954000,Gantries.
34955000,Floating dock.
34955100,Floating storage unit.
34960000,Airport equipment.
34961000,Baggage-handling system.
34961100,Baggage-handling equipment.
34962000,Air-traffic control equipment.
34962100,Control tower equipment.
34962200,Air-traffic control.
34962210,Air-traffic control simulation.
34962220,Air-traffic control systems.
34962230,Air-traffic control training.
34963000,Instrument Landing System (ILS).
34964000,Doppler VHF Omni direction Range (DVOR).
34965000,Distance Measuring Equipment (DME).
34966000,Radio Direction Finder and Non Directional Beacon.
34966100,Radio Direction Finder (RDF).
34966200,Non Directional Beacon (NDB).
34967000,Airport Communication System (COM).
34968000,Airport Surveillance System and Lighting System.
34968100,Airport Surveillance System (SUR).
34968200,Airport Lighting System (PAPI).
34969000,Passenger boarding bridges and stairs for aircraft.
34969100,Passenger boarding bridges for aircraft.
34969200,Passenger boarding stairs for aircraft.
34970000,Traffic-monitoring equipment.
34971000,Speed camera equipment.
34972000,Traffic-flow measuring system.
34980000,Transport tickets.
34990000,"Control, safety,signalling and light equipment."
34991000,Field operating lights.
34992000,Signs and illuminated signs.
34992100,Illuminated traffic signs.
34992200,Road signs.
34992300,Street signs.
34993000,Road lights.
34993100,Tunnel lighting.
34994000,Lighting for ship guidance and illumination.
34994100,Lighting for river guidance and illumination.
34995000,Lighting for aircraft guidance and illumination.
34996000,"Control, safety or signalling equipment for roads."
34996100,Traffic lights.
34996200,"Control, safety or signalling equipment for inland waterways."
34996300,"Control, safety or signalling equipment for parking facilities."
34997000,"Control, safety or signalling equipment for airports."
34997100,Flight recorders.
34997200,Airport lighting.
34997210,Runway lights.
34998000,"Control, safety or signalling equipment for port installations."
34999000,"Signal generators, aerial signal splitters and electroplating machines."
34999100,Signal generators.
34999200,Aerial signal splitters.
34999300,Electroplating machines.
34999400,Scale models.
34999410,Aircraft scale models.
34999420,Boat scale models.
35000000,"Security, fire-fighting, police and defence equipment."
35100000,Emergency and security equipment.
35110000,"Firefighting, rescue and safety equipment."
35111000,Firefighting equipment.
35111100,Breathing apparatus for firefighting.
35111200,Firefighting materials.
35111300,Fire extinguishers.
35111310,Foam packages.
35111320,Portable fire-extinguishers.
35111400,Fire escape equipment.
35111500,Fire suppression system.
35111510,Fire suppression hand tools.
35111520,Fire suppression foam or similar compounds.
35112000,Rescue and emergency equipment.
35112100,Emergency training dolls.
35112200,Emergency shower.
35112300,Eye shower.
35113000,Safety equipment.
35113100,Site-safety equipment.
35113110,Nuclear-reactor protection system.
35113200,"Nuclear, Biological, Chemical and Radiological protection equipment."
35113210,Nuclear safety equipment.
35113300,Safety installations.
35113400,Protective and safety clothing.
35113410,Garments for biological or chemical protection.
35113420,Nuclear and radiological protection clothing.
35113430,Safety vests.
35113440,Reflective vests.
35113450,Protective coats or ponchos.
35113460,Protective socks or hosiery.
35113470,Protective shirts or pants.
35113480,Protective wristbands.
35113490,Protective frock.
35120000,Surveillance and security systems and devices.
35121000,Security equipment.
35121100,Buzzers.
35121200,Detector for forged money.
35121300,Security fittings.
35121400,Security bags.
35121500,Seals.
35121600,Tags.
35121700,Alarm systems.
35121800,Convex security mirrors.
35121900,Radar detectors.
35123000,Site-identification equipment.
35123100,Magnetic-card system.
35123200,Flexible-working-hours equipment.
35123300,Timekeeping system.
35123400,Identification badges.
35123500,Video identification systems.
35124000,Metal detectors.
35125000,Surveillance system.
35125100,Sensors.
35125110,Biometric sensors.
35125200,Time control system or working time recorder.
35125300,Security cameras.
35126000,Bar code scanning equipment.
35200000,Police equipment.
35210000,Targets for shooting practice.
35220000,Anti-riot equipment.
35221000,Water cannons.
35230000,Handcuffs.
35240000,Sirens.
35250000,Repellents for canine attack.
35260000,Police signs.
35261000,Information panels.
35261100,Changing message indicator panels.
35262000,Crossing control signalling equipment.
35300000,"Weapons, ammunition and associated parts."
35310000,Miscellaneous weapons.
35311000,"Swords, cutlasses, bayonets and lances."
35311100,Swords.
35311200,Cutlasses.
35311300,Bayonets.
35311400,Lances.
35312000,Gas guns.
35320000,Firearms.
35321000,Light firearms.
35321100,Hand guns.
35321200,Rifles.
35321300,Machine guns.
35322000,Artillery.
35322100,Anti-aircraft.
35322200,Self-propelled artillery.
35322300,Towed artillery.
35322400,Mortars.
35322500,Howitzer.
35330000,Ammunition.
35331000,Ammunition for firearms and warfare.
35331100,Bullets.
35331200,Shells.
35331300,Grenades.
35331400,Land mines.
35331500,Cartridges.
35332000,Ammunition for naval warfare.
35332100,Torpedoes.
35332200,Sea mines.
35333000,Ammunition for aerial warfare.
35333100,Bombs.
35333200,Rockets.
35340000,Parts of firearms and ammunition.
35341000,Parts of light firearms.
35341100,Gunmetal pipe fittings.
35342000,Parts of rocket launchers.
35343000,Parts of mortars.
35400000,Military vehicles and associated parts.
35410000,Armoured military vehicles.
35411000,Battle tanks.
35411100,Main battle tanks.
35411200,Light battle tanks.
35412000,Armoured combat vehicles.
35412100,Infantry fighting vehicles.
35412200,Armoured personnel carriers.
35412300,Armoured weapon carriers.
35412400,Reconnaissance and patrol vehicles.
35412500,Command and liaison vehicles.
35420000,Parts of military vehicles.
35421000,Mechanical spare parts for military vehicles.
35421100,Engines and engine parts for military vehicles.
35422000,Electronic and electrical spare parts for military vehicles.
35500000,Warships and associated parts.
35510000,Warships.
35511000,Surface combatant.
35511100,Aircraft carriers.
35511200,Destroyers and frigates.
35511300,Corvettes and patrol boats.
35511400,Amphibious crafts and ships.
35512000,Submarines.
35512100,Strategic submarine nuclear fuelled.
35512200,Attack submarine nuclear fuelled.
35512300,Attack submarine diesel fuelled.
35512400,Unmanned Underwater Vehicles.
35513000,Mine warfare & auxiliary ships.
35513100,Mine hunter / minesweeper.
35513200,Auxiliary research vessel.
35513300,Auxiliary intelligence collection vessel.
35513400,Auxiliary Hospital / Cargo / Tanker / Roro vessel.
35520000,Parts for warships.
35521000,Hull and mechanical spare parts for warships.
35521100,Engines and engine parts for warships.
35522000,Electronic and electrical spare parts for warships.
35600000,"Military aircrafts, missiles and spacecrafts."
35610000,Military aircrafts.
35611000,Fixed-wing aircrafts.
35611100,Fighter aircrafts.
35611200,Fighter-bomber / ground attack aircarfts.
35611300,Bomber aircrafts.
35611400,Military transport aircrafts.
35611500,Training aircrafts.
35611600,Maritime patrol aircrafts.
35611700,Tanker aircrafts.
35611800,Reconnaissance aircrafts.
35612100,Combat helicopters.
35612200,Anti submarine warfare helicopters.
35612300,Support helicopters.
35612400,Military transport helicopters.
35612500,Search and rescue helicopters.
35613000,Unmanned Aerial Vehicles.
35613100,Unmanned Combat Aerial Vehicles.
35620000,Missiles.
35621000,Strategic missiles.
35621100,Strategic anti-ballistic missiles.
35621200,Inter continental ballistic missiles.
35621300,Submarine launched ballistic missiles.
35621400,Intermediate range ballistic missiles.
35622000,Tactical missiles.
35622100,Air-to-air missiles.
35622200,Air-to-ground missiles.
35622300,Anti-ship missiles.
35622400,Anti-submarines rockets.
35622500,Tactical anti-ballistic missiles.
35622600,Anti-tank guided missiles.
35622700,Surface-to-air missiles.
35623000,Cruise missiles.
35623100,Air/Ground/Sea Launched Cruise missiles.
35630000,Military spacecrafts.
35631000,Military satellites.
35631100,Communication satellites.
35631200,Observation satellites.
35631300,Navigation satellites.
35640000,Parts for military aerospace equipment.
35641000,Structure and mechanical spare parts for military aerospace equipment.
35641100,Engines and engine parts for military aerospace equipment.
35642000,Electronic and electrical spare parts for military aerospace equipment.
35700000,Military electronic systems.
35710000,"Command, Control, Communication and Computer systems."
35711000,"Command, Control, Communication systems."
35712000,"Tactical Command, Control and Communication systems."
35720000,"Intelligence, Surveillance, Target Acquisition and Reconnaissance."
35721000,Electronic intelligence system.
35722000,Radar.
35723000,Air defence radar.
35730000,Electronic warfare systems and counter measures.
35740000,Battle simulators.
35800000,Individual and support equipment.
35810000,Individual equipment.
35811100,Fire-brigade uniforms.
35811200,Police uniforms.
35811300,Military uniforms.
35812000,Combat uniforms.
35812100,Camouflage jackets.
35812200,Combat suits.
35812300,Combat gear.
35813000,Military helmets.
35813100,Helmet covers.
35814000,Gas masks.
35815000,Garments for anti-ballistic protection.
35815100,Bulletproof vests.
35820000,Support equipment.
35821000,Flags.
35821100,Flagpole.
37000000,"Musical instruments, sport goods, games, toys, handicraft, art materials and accessories."
37300000,Musical instruments and parts.
37310000,Musical instruments.
37311000,Keyboard instruments.
37311100,Pianos.
37311200,Accordions.
37311300,Musical organs.
37311400,Celestas.
37312000,Brass instruments.
37312100,Trumpets.
37312200,Trombones.
37312300,Sousaphones.
37312400,Saxophones.
37312500,Whistle.
37312600,Bugles.
37312700,Saxhorns.
37312800,Mellophones.
37312900,"Alto, baritone, flugel and french horns."
37312910,Alto horns.
37312920,Baritone horns.
37312930,Flugel horns.
37312940,French horns.
37313000,String instruments.
37313100,Harpsichords.
37313200,Clavichords.
37313300,Guitars.
37313400,Violins.
37313500,Harps.
37313600,Banjos.
37313700,Mandolins.
37313800,Violoncellos.
37313900,Basses.
37314000,Wind instruments.
37314100,Clarinets.
37314200,Oboes.
37314300,Musical cornets and flutes.
37314310,Musical cornets.
37314320,Musical flutes.
37314400,Piccolos.
37314500,Bagpipes.
37314600,Harmonicas.
37314700,Kazoos.
37314800,English horns.
37314900,Ocarinas.
37315000,Electrically amplified musical instruments.
37315100,Synthesisers.
37316000,Percussion instruments.
37316100,Cymbals.
37316200,Bells (instrument).
37316300,Tambourines.
37316400,Castanets.
37316500,Drums (instrument).
37316600,Xylophones.
37316700,Vibraphones.
37320000,Parts and accessories of musical instruments.
37321000,Accessories of musical instruments.
37321100,Metronomes.
37321200,Reeds.
37321300,Accessories for stringed instruments.
37321400,Instrument strings or picks.
37321500,Percussion instrument accessory.
37321600,Musical instrument pouches or cases or accessories.
37321700,Musical instrument stands or sheet holders.
37322000,Parts of musical instruments.
37322100,Tuning pins.
37322200,Music boxes or mechanisms.
37322300,Mouthpieces.
37322400,Mutes.
37322500,Tuning bars.
37322600,Conductors' batons.
37322700,Piccolo pads.
37400000,Sports goods and equipment.
37410000,Outdoor sports equipment.
37411000,Winter equipments.
37411100,Skiing and snowboarding equipment.
37411110,Ski boots.
37411120,Skis.
37411130,Ski poles.
37411140,Bindings.
37411150,Snowboards.
37411160,Skiing outfits.
37411200,Skating and ice hockey equipment.
37411210,Hockey pucks.
37411220,Ice skates.
37411230,Hockey sticks.
37411300,Arctic clothing and equipment.
37412000,Water-sports equipment.
37412100,Water skis.
37412200,Scuba and snorkeling gear.
37412210,Bouyancy compensators.
37412220,Scuba tanks.
37412230,Scuba regulators.
37412240,Diving instruments or accessories.
37412241,Breathing apparatus for diving.
37412242,Diving wear.
37412243,Immersion suits.
37412250,"Masks, fins or snorkels."
37412260,Wetsuits.
37412270,Drysuits.
37412300,Surf and swim equipment and accessories.
37412310,"Wakeboards, kneeboards or boogieboards."
37412320,Windsurfing equipment.
37412330,Surfboards.
37412340,Swim goggles or swim fins.
37412350,Parasailing equipment.
37413000,Articles for hunting or fishing.
37413100,Fishing tackle.
37413110,Fishing rods.
37413120,Fishing line.
37413130,Fishing reels.
37413140,Fishing lures.
37413150,Fishing bait.
37413160,Fishing weights or sinkers.
37413200,Hunting products.
37413210,Animal calls.
37413220,Sporting decoys.
37413230,Sporting traps.
37413240,Gun barrel.
37414000,Camping goods.
37414100,Sleeping pads.
37414200,Ice chests.
37414300,Tent repair kits.
37414600,Camping or outdoor stoves.
37414700,Drink coolers.
37414800,Survival suits.
37415000,Athletics equipment.
37416000,Leisure equipment.
37420000,Gymnasium equipment.
37421000,Gymnasium mats.
37422000,Gymnastic bars or beams.
37422100,Gymnastic bars.
37422200,Gymnastic beams.
37423000,Gymnastic ropes or rings or climbing accessories.
37423100,Gymnastic ropes.
37423200,Gymnastic rings.
37423300,Gymnastic climbing accessories.
